"TableName"	"IndexName"	"IndexType"	"IsUnique"	"IsPrimaryKey"	"ColumnName"	"KeyOrdinal"	"IsIncludedColumn"
"WIP_ISSUE_DETAIL"	"PK_WIP_ISSUE_DETAIL"	"CLUSTERED"	"YES"	"YES"	"WORKORDER_TYPE"	"1"	"NO"
"WIP_ISSUE_DETAIL"	"PK_WIP_ISSUE_DETAIL"	"CLUSTERED"	"YES"	"YES"	"WORKORDER_BASE_ID"	"2"	"NO"
"WIP_ISSUE_DETAIL"	"PK_WIP_ISSUE_DETAIL"	"CLUSTERED"	"YES"	"YES"	"WORKORDER_LOT_ID"	"3"	"NO"
"WIP_ISSUE_DETAIL"	"PK_WIP_ISSUE_DETAIL"	"CLUSTERED"	"YES"	"YES"	"WORKORDER_SPLIT_ID"	"4"	"NO"
"WIP_ISSUE_DETAIL"	"PK_WIP_ISSUE_DETAIL"	"CLUSTERED"	"YES"	"YES"	"WORKORDER_SUB_ID"	"5"	"NO"
"WIP_ISSUE_DETAIL"	"PK_WIP_ISSUE_DETAIL"	"CLUSTERED"	"YES"	"YES"	"DIST_NO"	"6"	"NO"
"WIP_ISSUE_DETAIL"	"PK_WIP_ISSUE_DETAIL"	"CLUSTERED"	"YES"	"YES"	"TRANSACTION_ID"	"7"	"NO"
"WIP_ISSUE_DETAIL"	"PK_WIP_ISSUE_DETAIL"	"CLUSTERED"	"YES"	"YES"	"CURRENCY_ID"	"8"	"NO"
"WIP_ISSUE_DETAIL"	"X_WIP_ISS_DET_1"	"NONCLUSTERED"	"NO"	"NO"	"PART_ID"	"1"	"NO"
"WIP_ISSUE_DETAIL"	"X_WIP_ISS_DET_1"	"NONCLUSTERED"	"NO"	"NO"	"TRANSACTION_ID"	"2"	"NO"
"WIP_ISSUE_DETAIL"	"X_WIP_ISS_DET_3"	"NONCLUSTERED"	"NO"	"NO"	"TRANSACTION_ID"	"1"	"NO"
"WIP_ISSUE_DETAIL"	"X_WIP_ISS_DET_4"	"NONCLUSTERED"	"NO"	"NO"	"TRANSACTION_ID"	"1"	"NO"
"WIP_ISSUE_DETAIL"	"X_WIP_ISS_DET_4"	"NONCLUSTERED"	"NO"	"NO"	"DIST_NO"	"2"	"NO"
